symbol,primary_ticker,exchange,asset_type,market_cap,sector,industry,name
DJTWW,DJTWW.US,NASDAQ,Common Stock,,,,Trump Media & Technology Group Corp.
DMAAR,DMAAR.US,NASDAQ,Common Stock,,,,Drugs Made In America Acquisition Corp. Rights
DRTSW,DRTSW.US,NASDAQ,Common Stock,,,,Alpha Tau Medical Ltd. Warrant
DSYWW,DSYWW.US,NASDAQ,Common Stock,,,,Big Tree Cloud Holdings Limited Warrants
DTB,DTB.US,NYSE,Common Stock,,,,DTE Energy Company 2020 Series
DTG,DTG.US,NYSE,Common Stock,,,,DTE Energy Company 2021 Series E
DTK,DTK.US,NYSE,Common Stock,,,,DTE Energy Company 2025 Series
DTSQR,DTSQR.US,NASDAQ,Common Stock,,,,DT Cloud Star Acquisition Corporation Right
DTSTW,DTSTW.US,NASDAQ,Common Stock,,,,Data Storage Corporation
DTW,DTW.US,NYSE,Common Stock,,,,DTE Energy Co Pref Series E
DUKB,DUKB.US,NYSE,Common Stock,,,,Duke Energy Corp
EAI,EAI.US,NYSE,Common Stock,,,,Entergy Arkansas LLC Deb 2066
ECCU,ECCU.US,NYSE,Common Stock,,,,Eagle Point Credit Company Inc
ECCV,ECCV.US,NYSE,Common Stock,,,,Eagle Point Credit Company Inc.
ECCW,ECCW.US,NYSE,Common Stock,,,,Eagle Point Credit Company Inc.
ECDAW,ECDAW.US,NASDAQ,Common Stock,,,,ECD Automotive Design Inc
ECXWW,ECXWW.US,NASDAQ,Common Stock,,,,ECARX Holdings Inc. Warrants
EDBLW,EDBLW.US,NASDAQ,Common Stock,,,,Edible Garden AG Incorporated
ELC,ELC.US,NYSE,Common Stock,,,,Entergy Louisiana LLC Pref
ENJ,ENJ.US,NYSE,Common Stock,,,,Entergy New Orleans Inc Pref
ESGLW,ESGLW.US,NASDAQ,Common Stock,,,,ESGL Holdings Limited Warrants
ESHAR,ESHAR.US,NASDAQ,Common Stock,,,,ESH Acquisition Corp. Right
EUDAW,EUDAW.US,NASDAQ,Common Stock,,,,EUDA Health Holdings Limited
EVGOW,EVGOW.US,NASDAQ,Common Stock,,,,EVgo Equity Warrants
EVLVW,EVLVW.US,NASDAQ,Common Stock,,,,Evolv Technologies Holdings Inc
EXEEL,EXEEL.US,NASDAQ,Common Stock,,,,Expand Energy Corporation
EXEEW,EXEEW.US,NASDAQ,Common Stock,,,,Expand Energy Corporation
EXEEZ,EXEEZ.US,NASDAQ,Common Stock,,,,Expand Energy Corporation
EZRAW,EZRAW.US,NASDAQ,Common Stock,,,,"Reliance Global Group, Inc."
FACTW,FACTW.US,NASDAQ,Common Stock,,,,FACT II Acquisition Corp. Warrant
FBYDW,FBYDW.US,NASDAQ,Common Stock,,,,"Falcon's Beyond Global, Inc. Warrants"
FCRX,FCRX.US,NYSE,Common Stock,,,,First Eagle Alternative Capital BDC Inc
